Sample in Buffer,Sample in Window,TRIGGER,slc3/cpu/cpu_control/state[4:0],run_i_IBUF
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX
224,224,0,"s_32",1
225,225,0,"s_0",1
226,226,0,"s_18",1
227,227,0,"s_33_1",1
228,228,0,"s_33_2",1
229,229,0,"s_33_3",1
230,230,0,"s_35",1
231,231,0,"s_32",1
232,232,0,"s_0",1
233,233,0,"s_18",1
234,234,0,"s_33_1",1
235,235,0,"s_33_2",1
236,236,0,"s_33_3",1
237,237,0,"s_35",1
238,238,0,"s_32",1
239,239,0,"s_0",1
240,240,0,"s_18",1
241,241,0,"s_33_1",1
242,242,0,"s_33_2",1
243,243,0,"s_33_3",1
244,244,0,"s_35",1
245,245,0,"s_32",1
246,246,0,"s_0",1
247,247,0,"s_18",1
248,248,0,"s_33_1",1
249,249,0,"s_33_2",1
250,250,0,"s_33_3",1
251,251,0,"s_35",1
252,252,0,"s_32",1
253,253,0,"s_0",1
254,254,0,"s_18",1
255,255,0,"s_33_1",1
256,256,0,"s_33_2",1
257,257,0,"s_33_3",1
258,258,0,"s_35",1
259,259,0,"s_32",1
260,260,0,"s_0",1
261,261,0,"s_18",1
262,262,0,"s_33_1",1
263,263,0,"s_33_2",1
264,264,0,"s_33_3",1
265,265,0,"s_35",1
266,266,0,"s_32",1
267,267,0,"s_0",1
268,268,0,"s_18",1
269,269,0,"s_33_1",1
270,270,0,"s_33_2",1
271,271,0,"s_33_3",1
272,272,0,"s_35",1
273,273,0,"s_32",1
274,274,0,"s_0",1
275,275,0,"s_18",1
276,276,0,"s_33_1",1
277,277,0,"s_33_2",1
278,278,0,"s_33_3",1
279,279,0,"s_35",1
280,280,0,"s_32",1
281,281,0,"s_0",1
282,282,0,"s_18",1
283,283,0,"s_33_1",1
284,284,0,"s_33_2",1
285,285,0,"s_33_3",1
286,286,0,"s_35",1
287,287,0,"s_32",1
288,288,0,"s_0",1
289,289,0,"s_18",1
290,290,0,"s_33_1",1
291,291,0,"s_33_2",1
292,292,0,"s_33_3",1
293,293,0,"s_35",1
294,294,0,"s_32",1
295,295,0,"s_0",1
296,296,0,"s_18",1
297,297,0,"s_33_1",1
298,298,0,"s_33_2",1
299,299,0,"s_33_3",1
300,300,0,"s_35",1
301,301,0,"s_32",1
302,302,0,"s_0",1
303,303,0,"s_18",1
304,304,0,"s_33_1",1
305,305,0,"s_33_2",1
306,306,0,"s_33_3",1
307,307,0,"s_35",1
308,308,0,"s_32",1
309,309,0,"s_0",1
310,310,0,"s_18",1
311,311,0,"s_33_1",1
312,312,0,"s_33_2",1
313,313,0,"s_33_3",1
314,314,0,"s_35",1
315,315,0,"s_32",1
316,316,0,"s_0",1
317,317,0,"s_18",1
318,318,0,"s_33_1",1
319,319,0,"s_33_2",1
320,320,0,"s_33_3",1
321,321,0,"s_35",1
322,322,0,"s_32",1
323,323,0,"s_0",1
324,324,0,"s_18",1
325,325,0,"s_33_1",1
326,326,0,"s_33_2",1
327,327,0,"s_33_3",1
328,328,0,"s_35",1
329,329,0,"s_32",1
330,330,0,"s_0",1
331,331,0,"s_18",1
332,332,0,"s_33_1",1
333,333,0,"s_33_2",1
334,334,0,"s_33_3",1
335,335,0,"s_35",1
336,336,0,"s_32",1
337,337,0,"s_0",1
338,338,0,"s_18",1
339,339,0,"s_33_1",1
340,340,0,"s_33_2",1
341,341,0,"s_33_3",1
342,342,0,"s_35",1
343,343,0,"s_32",1
344,344,0,"s_0",1
345,345,0,"s_18",1
346,346,0,"s_33_1",1
347,347,0,"s_33_2",1
348,348,0,"s_33_3",1
349,349,0,"s_35",1
350,350,0,"s_32",1
351,351,0,"s_0",1
352,352,0,"s_18",1
353,353,0,"s_33_1",1
354,354,0,"s_33_2",1
355,355,0,"s_33_3",1
356,356,0,"s_35",1
357,357,0,"s_32",1
358,358,0,"s_0",1
359,359,0,"s_18",1
360,360,0,"s_33_1",1
361,361,0,"s_33_2",1
362,362,0,"s_33_3",1
363,363,0,"s_35",1
364,364,0,"s_32",1
365,365,0,"s_0",1
366,366,0,"s_18",1
367,367,0,"s_33_1",1
368,368,0,"s_33_2",1
369,369,0,"s_33_3",1
370,370,0,"s_35",1
371,371,0,"s_32",1
372,372,0,"s_0",1
373,373,0,"s_18",1
374,374,0,"s_33_1",1
375,375,0,"s_33_2",1
376,376,0,"s_33_3",1
377,377,0,"s_35",1
378,378,0,"s_32",1
379,379,0,"s_0",1
380,380,0,"s_18",1
381,381,0,"s_33_1",1
382,382,0,"s_33_2",1
383,383,0,"s_33_3",1
384,384,0,"s_35",1
385,385,0,"s_32",1
386,386,0,"s_0",1
387,387,0,"s_18",1
388,388,0,"s_33_1",1
389,389,0,"s_33_2",1
390,390,0,"s_33_3",1
391,391,0,"s_35",1
392,392,0,"s_32",1
393,393,0,"s_0",1
394,394,0,"s_18",1
395,395,0,"s_33_1",1
396,396,0,"s_33_2",1
397,397,0,"s_33_3",1
398,398,0,"s_35",1
399,399,0,"s_32",1
400,400,0,"s_0",1
401,401,0,"s_18",1
402,402,0,"s_33_1",1
403,403,0,"s_33_2",1
404,404,0,"s_33_3",1
405,405,0,"s_35",1
406,406,0,"s_32",1
407,407,0,"s_0",1
408,408,0,"s_18",1
409,409,0,"s_33_1",1
410,410,0,"s_33_2",1
411,411,0,"s_33_3",1
412,412,0,"s_35",1
413,413,0,"s_32",1
414,414,0,"s_0",1
415,415,0,"s_18",1
416,416,0,"s_33_1",1
417,417,0,"s_33_2",1
418,418,0,"s_33_3",1
419,419,0,"s_35",1
420,420,0,"s_32",1
421,421,0,"s_0",1
422,422,0,"s_18",1
423,423,0,"s_33_1",1
424,424,0,"s_33_2",1
425,425,0,"s_33_3",1
426,426,0,"s_35",1
427,427,0,"s_32",1
428,428,0,"s_0",1
429,429,0,"s_18",1
430,430,0,"s_33_1",1
431,431,0,"s_33_2",1
432,432,0,"s_33_3",1
433,433,0,"s_35",1
434,434,0,"s_32",1
435,435,0,"s_0",1
436,436,0,"s_18",1
437,437,0,"s_33_1",1
438,438,0,"s_33_2",1
439,439,0,"s_33_3",1
440,440,0,"s_35",1
441,441,0,"s_32",1
442,442,0,"s_0",1
443,443,0,"s_18",1
444,444,0,"s_33_1",1
445,445,0,"s_33_2",1
446,446,0,"s_33_3",1
447,447,0,"s_35",1
448,448,0,"s_32",1
449,449,0,"s_0",1
450,450,0,"s_18",1
451,451,0,"s_33_1",1
452,452,0,"s_33_2",1
453,453,0,"s_33_3",1
454,454,0,"s_35",1
455,455,0,"s_32",1
456,456,0,"s_0",1
457,457,0,"s_18",1
458,458,0,"s_33_1",1
459,459,0,"s_33_2",1
460,460,0,"s_33_3",1
461,461,0,"s_35",1
462,462,0,"s_32",1
463,463,0,"s_0",1
464,464,0,"s_18",1
465,465,0,"s_33_1",1
466,466,0,"s_33_2",1
467,467,0,"s_33_3",1
468,468,0,"s_35",1
469,469,0,"s_32",1
470,470,0,"s_0",1
471,471,0,"s_18",1
472,472,0,"s_33_1",1
473,473,0,"s_33_2",1
474,474,0,"s_33_3",1
475,475,0,"s_35",1
476,476,0,"s_32",1
477,477,0,"s_0",1
478,478,0,"s_18",1
479,479,0,"s_33_1",1
480,480,0,"s_33_2",1
481,481,0,"s_33_3",1
482,482,0,"s_35",1
483,483,0,"s_32",1
484,484,0,"s_0",1
485,485,0,"s_18",1
486,486,0,"s_33_1",1
487,487,0,"s_33_2",1
488,488,0,"s_33_3",1
489,489,0,"s_35",1
490,490,0,"s_32",1
491,491,0,"s_0",1
492,492,0,"s_18",1
493,493,0,"s_33_1",1
494,494,0,"s_33_2",1
495,495,0,"s_33_3",1
496,496,0,"s_35",1
497,497,0,"s_32",1
498,498,0,"s_0",1
499,499,0,"s_18",1
500,500,0,"s_33_1",1
501,501,0,"s_33_2",1
502,502,0,"s_33_3",1
503,503,0,"s_35",1
504,504,0,"s_32",1
505,505,0,"s_0",1
506,506,0,"s_18",1
507,507,0,"s_33_1",1
