Sample in Buffer,Sample in Window,TRIGGER,slc3/cpu/cpu_control/state[4:0],run_i_IBUF
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX
978,978,0,"s_32",0
979,979,0,"s_0",0
980,980,0,"s_18",0
981,981,0,"s_33_1",0
982,982,0,"s_33_2",0
983,983,0,"s_33_3",0
984,984,0,"s_35",0
985,985,0,"s_32",0
986,986,0,"s_0",0
987,987,0,"s_18",0
988,988,0,"s_33_1",0
989,989,0,"s_33_2",0
990,990,0,"s_33_3",0
991,991,0,"s_35",0
992,992,0,"s_32",0
993,993,0,"s_0",0
994,994,0,"s_18",0
995,995,0,"s_33_1",0
996,996,0,"s_33_2",0
997,997,0,"s_33_3",0
998,998,0,"s_35",0
999,999,0,"s_32",0
1000,1000,0,"s_0",0
1001,1001,0,"s_18",0
1002,1002,0,"s_33_1",0
1003,1003,0,"s_33_2",0
1004,1004,0,"s_33_3",0
1005,1005,0,"s_35",0
1006,1006,0,"s_32",0
1007,1007,0,"s_0",0
1008,1008,0,"s_18",0
1009,1009,0,"s_33_1",0
1010,1010,0,"s_33_2",0
1011,1011,0,"s_33_3",0
1012,1012,0,"s_35",0
1013,1013,0,"s_32",0
1014,1014,0,"s_0",0
1015,1015,0,"s_18",0
1016,1016,0,"s_33_1",0
1017,1017,0,"s_33_2",0
1018,1018,0,"s_33_3",0
1019,1019,0,"s_35",0
1020,1020,0,"s_32",0
1021,1021,0,"s_0",0
1022,1022,0,"s_18",0
1023,1023,0,"s_33_1",0
